filename,PSNR,MS-SSIM,LPIPS,BPP
kodim01.png,25.54,0.9177,0.2843,-0.1176
kodim02.png,29.44,0.8905,0.3021,-0.0308
kodim03.png,30.80,0.9445,0.1593,-0.0315
kodim04.png,29.31,0.9083,0.2964,-0.0391
kodim05.png,25.30,0.9320,0.2027,-0.1693
kodim06.png,26.54,0.9051,0.2817,-0.0901
kodim07.png,29.80,0.9603,0.1394,-0.0635
kodim08.png,24.74,0.9454,0.2142,-0.1807
kodim09.png,30.52,0.9573,0.1277,-0.0456
kodim10.png,30.21,0.9460,0.2164,-0.0478
kodim11.png,27.62,0.9122,0.2921,-0.0706
kodim12.png,30.57,0.9234,0.2405,-0.0300
kodim13.png,22.94,0.8786,0.4505,-0.1723
kodim14.png,26.39,0.9058,0.3398,-0.1000
kodim15.png,29.22,0.9314,0.2422,-0.0371
kodim16.png,28.82,0.9121,0.2817,-0.0390
kodim17.png,29.41,0.9409,0.2119,-0.0505
kodim18.png,25.71,0.9005,0.3413,-0.1030
kodim19.png,28.09,0.9184,0.2563,-0.0571
kodim20.png,30.07,0.9503,0.1573,-0.0684
kodim21.png,27.16,0.9418,0.2322,-0.0875
kodim22.png,27.76,0.8863,0.3510,-0.0534
kodim23.png,31.16,0.9463,0.1419,-0.0332
kodim24.png,25.40,0.9183,0.3223,-0.1070
